LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
MUNICIPALITY OF KUALA LUMPUR,PETALING,UMNO - MCA,ONG YOKE LIN,MALE,36,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL SPOILED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL BALLOT PAPERS ISSUED,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,UMNO - MCA,CHEAH EWE KEAT,MALE,51,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL SPOILED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL BALLOT PAPERS ISSUED,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO - MCA,YAHYA BIN SHEIKH AHMAD,MALE,,873,WON,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,BADRULLAH BIN ABDUL KARIM,MALE,,487,LOST,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,56,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1416,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1182,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL SPOILED BALLOT PAPERS,,,,2,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL BALLOT PAPERS ISSUED,,,,2600,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL ELECTORS,,,,2517,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,UMNO - MCA,ABDUL AZIZ BIN ISHAK,MALE,,507,WON,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,INDEPENDENT,KANDASAMY GURUPATHAM,MALE,,437,LOST,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,A. C. SEGARAM @ A. C. SEGARA,MALE,,155,LOST,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,20,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1119,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,381,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL SPOILED BALLOT PAPERS,,,,0,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL BALLOT PAPERS ISSUED,,,,1500,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL ELECTORS,,,,1413,,
